MONITOREO DE TEMPERATURA
Sensor 3: 51.33 °C 
Sensor 4: 48.54 °C 

Sensor 1: 49.71 °C 
Sensor 2: 13.05 °C 
Sensor 3: 51.19 °C 
Sensor 4: 48.28 °C 

Sensor 1: 49.58 °C 
Sensor 2: 13.05 °C 
Sensor 3: 50.64 °C 
Sensor 4: 48.03 °C 

Sensor 1: 49.58 °C 
Sensor 2: 13.05 °C 
Sensor 3: 50.51 °C 
Sensor 4: 47.77 °C 

Sensor 1: 49.45 °C 
Sensor 2: 13.14 °C 
Sensor 3: 50.38 °C 
Sensor 4: 47.52 °C 

Sensor 1: 49.45 °C 
Sensor 2: 13.14 °C 
Sensor 3: 50.24 °C 
Sensor 4: 47.27 °C 

Sensor 1: 49.06 °C 
Sensor 2: 13.14 °C 
Sensor 3: 49.98 °C 
Sensor 4: 47.15 °C 

Sensor 1: 49.19 °C 
Sensor 2: 13.23 °C 
Sensor 3: 49.84 °C 
Sensor 4: 46.90 °C 

Sensor 1: 48.93 °C 
Sensor 2: 13.23 °C 
Sensor 3: 49.71 °C 
Sensor 4: 46.78 °C 

Sensor 1: 48.80 °C 
Sensor 2: 13.32 °C 
Sensor 3: 49.45 °C 
Sensor 4: 46.90 °C 

Sensor 1: 49.58 °C 
Sensor 2: 13.32 °C 
Sensor 3: 49.45 °C 
Sensor 4: 46.65 °C 

Sensor 1: 49.32 °C 
Sensor 2: 13.41 °C 
Sensor 3: 49.19 °C 
Sensor 4: 46.41 °C 

Sensor 1: 49.32 °C 
Sensor 2: 13.49 °C 
Sensor 3: 49.06 °C 
Sensor 4: 46.28 °C 

Sensor 1: 49.19 °C 
Sensor 2: 13.49 °C 
Sensor 3: 48.93 °C 
Sensor 4: 46.04 °C 

Sensor 1: 48.93 °C 
Sensor 2: 13.58 °C 
Sensor 3: 48.80 °C 
Sensor 4: 45.92 °C 

Sensor 1: 48.93 °C 
Sensor 2: 13.58 °C 
Sensor 3: 48.67 °C 
Sensor 4: 45.68 °C 

Sensor 1: 48.93 °C 
Sensor 2: 13.58 °C 
Sensor 3: 48.80 °C 
Sensor 4: 45.56 °C 

Sensor 1: 48.67 °C 
Sensor 2: 13.67 °C 
Sensor 3: 48.54 °C 
Sensor 4: 45.32 °C 

Sensor 1: 48.67 °C 
Sensor 2: 13.76 °C 
Sensor 3: 48.54 °C 
